iter	Passed	Remaining
0	116	116509
1	117	58873
2	119	39631
3	120	30090
4	125	25047
5	129	21415
6	130	18564
7	132	16406
8	133	14749
9	135	13398
10	136	12285
11	138	11422
12	140	10701
13	142	10066
14	144	9494
15	146	8985
16	147	8529
17	148	8118
18	149	7742
19	151	7431
20	154	7183
21	156	6979
22	158	6744
23	160	6522
24	161	6312
25	163	6115
26	164	5928
27	165	5754
28	168	5629
29	170	5520
30	172	5394
31	174	5281
32	175	5156
33	177	5032
34	178	4915
35	179	4805
36	180	4697
37	181	4601
38	185	4565
39	187	4488
40	188	4402
41	189	4320
42	190	4244
43	191	4169
44	193	4100
45	194	4031
46	196	3975
47	199	3963
48	201	3916
49	203	3868
50	205	3816
51	206	3767
52	208	3722
53	209	3674
54	212	3649
55	214	3610
56	215	3565
57	216	3519
58	218	3479
59	220	3454
60	221	3411
61	222	3373
62	224	3334
63	225	3294
64	226	3263
65	228	3234
66	229	3199
67	230	3163
68	231	3126
69	232	3094
70	233	3060
71	234	3027
72	236	2997
73	237	2968
74	238	2938
75	239	2910
76	241	2897
77	243	2873
78	244	2848
79	245	2822
80	246	2797
81	247	2771
82	248	2741
83	249	2716
84	250	2692
85	251	2670
86	252	2649
87	253	2627
88	254	2606
89	257	2602
90	258	2585
91	260	2566
92	261	2548
93	262	2531
94	264	2515
95	265	2496
96	266	2478
97	267	2460
98	268	2443
99	269	2426
100	273	2438
101	275	2422
102	276	2405
103	277	2389
104	278	2373
105	279	2357
106	280	2342
107	281	2328
108	283	2314
109	284	2299
110	285	2288
111	287	2281
112	289	2272
113	290	2258
114	291	2245
115	292	2232
116	293	2217
117	294	2203
118	295	2190
119	297	2178
120	298	2165
121	299	2152
122	300	2141
123	302	2134
124	303	2124
125	304	2113
126	305	2101
127	306	2090
128	307	2078
129	308	2067
130	310	2057
131	311	2046
132	312	2034
133	313	2023
134	314	2012
135	315	2004
136	317	2002
137	319	1993
138	320	1983
139	321	1972
140	322	1962
141	322	1949
142	323	1939
143	324	1930
144	326	1922
145	327	1913
146	328	1905
147	329	1896
148	331	1896
149	333	1889
150	334	1882
151	335	1873
152	336	1865
153	337	1856
154	338	1847
155	340	1840
156	341	1832
157	342	1824
158	343	1817
159	344	1809
160	345	1802
161	347	1797
162	348	1790
163	349	1782
164	350	1775
165	351	1767
166	352	1760
167	354	1753
168	355	1745
169	356	1738
170	357	1732
171	358	1726
172	359	1720
173	361	1716
174	362	1710
175	364	1704
176	365	1698
177	366	1691
178	367	1684
179	368	1677
180	369	1670
181	370	1663
182	371	1657
183	372	1651
184	373	1645
185	374	1638
186	376	1638
187	378	1634
188	379	1628
189	380	1623
190	381	1617
191	382	1611
192	383	1605
193	384	1599
194	386	1593
195	387	1588
196	388	1582
197	390	1581
198	392	1578
199	393	1573
200	394	1569
201	396	1564
202	397	1559
203	399	1556
204	400	1551
205	401	1546
206	402	1540
207	403	1535
208	405	1535
209	407	1534
210	409	1530
211	410	1525
212	411	1521
213	413	1517
214	414	1513
215	415	1508
216	417	1504
217	418	1500
218	421	1504
219	423	1501
220	424	1497
221	425	1492
222	426	1487
223	427	1482
224	428	1477
225	429	1472
226	431	1467
227	432	1464
228	433	1459
229	435	1458
230	437	1456
231	439	1453
232	440	1450
233	441	1445
234	442	1441
235	443	1436
236	444	1432
237	445	1427
238	446	1422
239	448	1419
240	449	1417
241	452	1418
242	454	1415
243	455	1411
244	456	1407
245	457	1403
246	458	1399
247	460	1395
248	461	1391
249	462	1387
250	463	1384
251	465	1382
252	467	1380
253	469	1377
254	470	1374
255	471	1370
256	472	1366
257	473	1362
258	474	1358
259	476	1354
260	477	1351
261	478	1348
262	480	1347
263	483	1347
264	484	1343
265	485	1340
266	487	1336
267	487	1332
268	489	1329
269	490	1325
270	491	1321
271	492	1317
272	493	1315
273	495	1313
274	498	1313
275	499	1310
276	500	1307
277	502	1304
278	504	1303
279	505	1300
280	506	1296
281	508	1294
282	510	1293
283	512	1291
284	514	1289
285	515	1286
286	516	1283
287	517	1280
288	518	1276
289	519	1272
290	521	1269
291	522	1266
292	524	1265
293	527	1266
294	529	1264
295	530	1261
296	531	1258
297	532	1255
298	534	1252
299	535	1249
300	536	1245
301	537	1241
302	541	1244
303	543	1243
304	544	1241
305	545	1238
306	547	1234
307	548	1231
308	549	1228
309	550	1225
310	552	1223
311	556	1228
312	558	1225
313	559	1222
314	560	1219
315	562	1216
316	563	1213
317	564	1210
318	565	1207
319	566	1204
320	568	1202
321	570	1201
322	572	1199
323	573	1196
324	574	1194
325	576	1191
326	577	1188
327	578	1185
328	579	1182
329	580	1179
330	582	1176
331	584	1175
332	586	1173
333	587	1171
334	588	1168
335	590	1166
336	591	1163
337	592	1160
